comments,article id,study id,author,publication year,title,data location,study_name,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Lat_Long_Method,Study_Design,Study_Characteristics,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period,Mean_tracking_period,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size,Maximum_treatment_burn_age,Comparator_fire_history,Data_source,Sample_Size_Before,Mean_Before,SEM_Before,SD_Before,95__CI_Before,Sample_Size_After,Mean_After,SEM_After,SD_After,95__CI_After,Sample_Size_Control,Mean_Control,SEM_Control,SD_Control,95__CI_Control,Sample_Size_Impact,Mean_Impact,SEM_Impact,SD_Impact,95__CI_Impact,Sample_Size_Control_Before,Mean_Control_Before,SEM__Control_Before,SD__Control_Before,95__CI__Control_Before,Sample_Size_Control_After,Mean_Control_After,SEM_Control_After,SD_Control_After,95__CI_Control_After,Sample_Size_Impact_Before,Mean_Impact_Before,SEM_Impact_Before,SD_Impact_Before,95__CI_Impact_Before,Sample_Size_Impact_After,Mean_Impact_After,SEM_Impact_After,SD_Impact_After,95__CI_Impact_After,Comments
,260,3,"Jaffe, KE; Isbell, LA",2009,"After the Fire: Benefits of Reduced Ground Cover for Vervet Monkeys (<i>Cercopithecus aethiops</i>)
",N,,82,10.1002/ajp.20644,Jaffe2009,American Journal of Primatology,2008,Kenya,"36* 50' E, 0* 15' N",,BA,Compared maximum daily distance moved away from river by vervet monkeys before and after a wildfire,Cercopithecus aethiops,Linear Distance,Maximum daily distance,Maximum daily distance (m),Group of vervet monkeys,,,NA,NA,Visual,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,"Fire largely undescribed by authors. Prefire grass height 20-93cm and post fire 0-5cm. Pre and post fire photos (Fig 1, pg 255) of the habitat indicate most of the grass layer was consumed, as well as consumption and sorching of shrublayer",Not provided,2 months,Not provided,"Ranging Behaviour and Rate of Movement section of results, paragraph 2 pg. 255",38,54.3 m,5.6 m,NA,NA,17,188.5m,39.7 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sample sizes are the number of days, not individual monkeys. Mean values and SEMs are the same as reported for CI, but ranges are different - unsure these are true values, or a copy/paste mistake."
,307,1,"Harris, KA; Clark, JD; Elmore, RD; Harper, CA",2020,"Direct and Indirect Effects of Fire on Eastern Box Turtles
",row created by CADIMA,row created by CADIMA,87,10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,"35.8, - 84.4",,CI,Compared home range size of eastern box turtles impacted by fire and those not impacted by fire at three sites in Tennessee,Terrapene carolina carolina,Home range,Home range size,Home range size 95% kernel density,adults,NA,NA,All seasons,All seasons,VHF,Not provided,Not provided,Not provided,40,Both,"Spring, Summer & Autumn","17 planned burns, one wildfire. Varing intensity (indicated by pyrometer tile temperature 62C to >184C)",Wildfire 600 ha. Planned burn size not provided,2 years,History of prescribed fire (2-8 year fire return interval) across the three sites,"Means and SEM Table 3, pg. 1390. Sample size from Spatial Ecology section of results, para 2, pg. 1390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,8.9 ha,4.2 ha,NA,NA,34,7.1 ha,2.2 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animals tracked throughout the year, however tracking frequenct reduced to ~1 location/month December - April. Treatment and control groups spread across three sites which "" varied in predominant vegetation types, topography, management, burn history, and burn regimes."" pg. 1385"
,307,2,"Harris, KA; Clark, JD; Elmore, RD; Harper, CA",2020,"Direct and Indirect Effects of Fire on Eastern Box Turtles
",N,,88,10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,"35.8, - 84.4",,BA,Compared home range size of eastern box turtles before and after fire at three sites in Tennessee,Terrapene carolina carolina,Home range,Home range size,Home range size 95% kernel density,adults,All seasons,All seasons,NA,NA,VHF,Not provided,Not provided,Not provided,40,Both,"Spring, Summer & Autumn","18 planned burns, one wildfire. Varing intensity (indicated by pyrometer tile temperature 62C to >184C)",Wildfire 600 ha. Planned burn size not provided,2 years,History of prescribed fire (2-8 year fire return interval) across the three sites,"Spatial Ecology section of results, para 2, pg. 1390",19,5.1 ha,2.0 ha,NA,NA,19,4.4 ha,1.7 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animals tracked throughout the year, however tracking frequenct reduced to ~1 location/month December - April. Treatment and control groups spread across three sites which "" varied in predominant vegetation types, topography, management, burn history, and burn regimes."" pg. 1385"
,307,3,"Harris, KA; Clark, JD; Elmore, RD; Harper, CA",2020,"Direct and Indirect Effects of Fire on Eastern Box Turtles
",N,,89,10.1002/jwmg.21920,Harris2020,Journal of Wildlife Management,2020,United States of America,"35.8, - 84.4",,CI,Compared mean sinuosity of eastern box turtles impacted by fire and those not impacted by fire at three sites in Tennessee,Terrapene carolina carolina,Tortuosity - Opposite Direction,Sinuosity,"Mean sinuosity index, where 1 = straight, <1 = less straight",adults,NA,NA,All seasons,All seasons,VHF,Not provided,Not provided,Not provided,40,Both,"Spring, Summer & Autumn","19 planned burns, one wildfire. Varing intensity (indicated by pyrometer tile temperature 62C to >184C)",Wildfire 600 ha. Planned burn size not provided,2 years,History of prescribed fire (2-8 year fire return interval) across the three sites,"Spatial Ecology section of results, para 2, pg. 1390",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,0.19,0.02,NA,NA,34,0.15,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Animals tracked throughout the year, however tracking frequenct reduced to ~1 location/month December - April. Treatment and control groups spread across three sites which "" varied in predominant vegetation types, topography, management, burn history, and burn regimes."" pg. 1385"
,344,2,"Huysman, AE; Johnson, MD",2021,"Habitat selection by a predator of rodent pests is resilient to wildfire in a vineyard agroecosystem
",N,,93,10.1002/ece3.8416,Huysman2021,Ecology and Evolution,2021,United States of America,"38.433821977733245, -122.35790576157503","Estimated by reviewers, coordinates taken from approximate mid point of Napa Valley",BA,Compared mean distance between home range centroid of barn owls and fire edge before and after wildfire,Tyto furcata,Linear Distance,Distance between centroid and fire scar,Distance between centroid and fire scar,Females,Winter,Winter,NA,NA,GPS,14 days,Nor provided,851,114,Wildfire,Autumn,Not provided,60000 ha,1 year 5 months,Not provided,"Results section, para 4, pg. 18221 and 18222",17,2864 m,361 m,NA,NA,15,1692 m,344 m,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Before and after groups include owls with home ranges unimpacted and impacted by fire. Authors also analysed data of just owls with home ranges impacted by fire (too few repliactes for inclusion) and found little difference B: 1180 m (+-121 m) A: 1051m (+-211 m)
,344,3,"Huysman, AE; Johnson, MD",2021,"Habitat selection by a predator of rodent pests is resilient to wildfire in a vineyard agroecosystem
",N,,94,10.1002/ece3.8416,Huysman2021,Ecology and Evolution,2021,United States of America,"38.433821977733245, -122.35790576157503","Estimated by reviewers, coordinates taken from approximate mid point of Napa Valley",BA,Compared mean distance between home range centroid of barn owls and nest box before and after wildfire,Tyto furcata,Linear Distance,Distance between centroid and fire scar,Distance between centroid and fire scar,Females,Winter,Winter,NA,NA,GPS,14 days,Nor provided,851,114,Wildfire,Autumn,Not provided,60000 ha,1 year 5 months,Not provided,"Results section, para 4, pg. 18221 and 18222",17,223 m,110 m,NA,NA,15,619 m,264 m,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Before and after groups include owls with home ranges unimpacted and impacted by fire. Authors also analysed data of just owls with home ranges impacted by fire (too few repliactes for inclusion) and found little difference B: 1180 m (+-121 m) A: 1051m (+-211 m)
,353,2,"Pitt, AL; Tavano, JJ; Baldwin, RF; Waldrop, TA",2013,"Effects of fuel reduction treatments on movement and habitat use of American toads in a southern Appalachian hardwood forest
",N,,96,10.1016/j.foreco.2013.08.032,Pitt2013,Forest Ecology and Management,2013,United States of America,"35°17'9""N, 82°19'42""W",Provided by authors,CI,Compared total distance moved of toads at a control and impact (prescribed burn) site.,Anaxyrus americanus,Linear Distance,Total distance moved,"Total distance moved, as the distance between locations",Males and females,NA,NA,Winter/Spring,Winter/Spring,VHF,34 days,69.3 days,Not provided,Not provided,Planned,Winter,Mean temperature from thermocouples was 170 C +-107.6 C,Not provided,4 months,Not provided,"Table 1, pg. 294",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1243 m,326.74 m,NA,NA,12,457.75 m,159.48 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Calculated mean total distance moved, SEM, and tracking period data from Table 1, pg. 294. Used Burn and Control treatments for C and I. Burn treatment site received two prescribed burns before treatment burn, one 9 years pre treatment and another 6 years pre treatment."
,468,1,"Lovich, JE; Agha, M; Ennen, JR; Arundel, TR; Austin, M",2018,"Agassiz's desert tortoise (<i>Gopherus agassizii</i>) activity areas are little changed after wind turbine-induced fires in California
",row created by CADIMA,row created by CADIMA,102,10.1071/WF18147,Lovich2018,International Journal of Wildland Fire,2018,United States of America,"33.94615384374419, -116.6673612982519",Estimated by reviewers. Coordinates taken from approximate mid point of Mesa Wind Project Site.,BA,Compared annual activity areas of tortoises before and after a wildfire caused by wind turbines,Gopherus agassizii,Home range,Activity Area size,"Annual Activity Area, minimum convex polygon",Adults,All seasons,All seasons,NA,NA,VHF,Not provided,Not provided,Not provided,4,Wildfire,Summer & Autumn,"2 fires, both Ignited accidentally by wind turbines, one in summer another in autumn. Summer fire larger (152 ha vs 6.5 ha)",158.5 ha,8 months,"History of fire since 1992, creating vegetation mosaic. Various ignition causes (no details provided)","Table 1, pg. 853",8,38272.36 m2,21953.46,NA,NA,8,8456.55 m2,3870.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tracking effort varied seasonally, with increased effort in nesting season Spring/Summer"
,468,2,"Lovich, JE; Agha, M; Ennen, JR; Arundel, TR; Austin, M",2018,"Agassiz's desert tortoise (<i>Gopherus agassizii</i>) activity areas are little changed after wind turbine-induced fires in California
",N,,103,10.1071/WF18147,Lovich2018,International Journal of Wildland Fire,2018,United States of America,"33.94615384374419, -116.6673612982519",Estimated by reviewers. Coordinates taken from approximate mid point of Mesa Wind Project Site.,BA,"Compared the percentage over lap of annual activity areas of tortoises in 2011 and 2013, with one group impacted by wildfire",Gopherus agassizii,Other space use - Proportion,Percentage of Activity area overlap between years,Percentage of Activity area overlap between years,Adults,NA,NA,All seasons,All seasons,VHF,Not provided,Not provided,Not provided,4,Wildfire,Summer & Autumn,"2 fires, both Ignited accidentally by wind turbines, one in summer another in autumn. Summer fire larger (152 ha vs 6.5 ha)",158.5 ha,8 months,"History of fire since 1992, creating vegetation mosaic. Various ignition causes (no details provided)","Table 1, pg. 853",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,0.334,11,NA,NA,8,0.378,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Opposite Direction - Tracking effort varied seasonally, with increased effort in nesting season Spring/Summer"
,490,1,"Pasch, B; Koprowski, JL",2011,"Impacts of fire suppression on space use by Mexican fox squirrels
",row created by CADIMA,row created by CADIMA,107,10.1644/10-MAMM-A-133.1,Pasch2011,Journal of Mammalogy,2011,United States of America,"32*51'N, 109*17'W",Provided by author,CI,Compared of core areas of squirrels in fire suppressed and burned areas,Sciurus nayaritensis chiricahuae,Home range,Core Area,Core area siz,Adults,NA,NA,All seasons,All seasons,VHF,Not provided,Not provided,Not provided,30,Planned,Not provided,Mutliple prescribed burns (33) occuring from 1980-2001.,260 ha,23 years,Fire suppression for ~100 years prior to study,"Results section, paragraph 3, pg. 230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,6.6 ha,1.2 ha,NA,NA,12,2.9 ha,1.0 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,490,2,"Pasch, B; Koprowski, JL",2011,"Impacts of fire suppression on space use by Mexican fox squirrels
",N,,108,10.1644/10-MAMM-A-133.1,Pasch2011,Journal of Mammalogy,2011,United States of America,"32*51'N, 109*17'W",Provided by author,CI,Compared of distance travelled of squirrels in fire suppressed and burned areas,Sciurus nayaritensis chiricahuae,Linear Distance,Mean daily distance travelled,Mean daily distance travelled,Adults,NA,NA,All seasons,All seasons,VHF,Not provided,Not provided,Not provided,30,Planned,Not provided,Mutliple prescribed burns (33) occuring from 1980-2001.,260 ha,23 years,Fire suppression for ~100 years prior to study,"Results section, paragraph 3, pg. 230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,335.7 m,41.8 m,NA,NA,12,212.3 m,38.8 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,924,1,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",row created by CADIMA,row created by CADIMA,113,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34°05’N, 118°46’W",Provided by authors,BA,Compared proportion of burn perimeter used by mountain lions before and after fire.,Puma concolor,Other space use - Proportion,Mean proportion of locations within the burn perimeter before and after fire,Mean proportion of locations within the burn perimeter before and after fire,"Males and females, adults and subadults",All seasons,All seasons,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,15 months,History of large wildfires in the region,"Table S1, Supplementary Material",9,0.36,10,NA,NA,9,0.21,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Combined male and female, as well sub adult and adult, as most individuals showed a decrease in proportion used after fire. Although, two females increased post fire."
,924,2,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,114,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34°05’N, 118°46’W",Provided by authors,BA,"Compared home range size of  mountain lions in the three months before and three months after fire, estimated using a linear mixed effects model",Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,3 months,History of large wildfires in the region,"Figure 3E, sample sizes Table s3",2,203.9 km2,NA,NA,46.6,3,184.1 km2,NA,NA,39.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
,924,3,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,115,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34°05’N, 118°46’W",Provided by authors,BA,"Compared home range size of  mountain lions in the three months before and three months after fire, estimated using a linear mixed effects model",Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult males,Summer/Autum,Autumn/Winter,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,4 months,History of large wildfires in the region,"Figure 3E, sample sizes Table s3",4,147.2 km2,NA,NA,36.7,3,169.5 km2,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
,924,4,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,116,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34°05’N, 118°46’W",Provided by authors,BA,"Compared home range size of  mountain lions in the three months before and three months after fire, estimated using a linear mixed effects model",Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,Adult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,5 months,History of large wildfires in the region,"Figure 3E, sample sizes Table s3",2,62.3 km2,NA,NA,0.3 - 107.5,5,78.3 km2,NA,NA,44.4 - 115.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding. Confidence bars for some female means not centred on mean, CI range extracted instead. Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
,924,5,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,117,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34°05’N, 118°46’W",Provided by authors,BA,"Compared home range size of  mountain lions in the three months before and three months after fire, estimated using a linear mixed effects model",Puma concolor,Home range,Amount of space used,Predicted Amount of space used estimated using adaptive local convex hulls and a linear mixed effects model,subadult females,Summer/Autum,Autumn/Winter,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,6 months,History of large wildfires in the region,"Figure 3E, sample sizes Table s3",2,79.1 km2,NA,NA,35 - 154.9,3,95.7 km2,NA,NA,31.1 - 144.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding. Confidence bars for some female means not centred on mean, CI range extracted instead.  Authors used resampling method  (100 resamples) to assess validity of model and increase sample size robustness, therfore have included for purposes of meta analysis. Means and 95% CI eztracted using web plot digitiser"
,924,6,"Blakey, RV; Sikich, JA; Blumstein, DT; Riley, SPD",2022,"Mountain lions avoid burned areas and increase risky behavior after wildfire in a fragmented urban landscape
",n,,118,10.1016/j.cub.2022.08.082,Blakey2022,Current Biology,2022,United States of America,"34°05’N, 118°46’W",Provided by authors,BA,Compared the mean monthly distance travelled at 10 months before and 10 months after a fire by mountain lions.,Puma concolor,Linear Distance,"Mean monthly distance travelled, predicted using Mixed effects meta-regression",Mean monthly distance travelled,"Males and females, adults and subadults",Winter,Autumn,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Autumn,Not provided,39234 ha,10 months,History of large wildfires in the region,,9,254.2 km,NA,NA,48.5,17,349.4 km,NA,NA,48.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Some temporal confounding. Means and 95% CI extracted using web plot digitiser
,938,1,"Hutchen, J; Hodges, KE",2019,"Foraging behaviour of snowshoe hares (<i>Lepus americanus</i>) in conifer forests regenerating after fire
",row created by CADIMA,row created by CADIMA,119,10.1139/cjz-2018-0222,Hutchen2019,Canadian Journal of Zoology,2019,Canada,"49.7220588404915, -119.596870812616","Estimated by reviewers, coordinates taken from existing google pin of Okanagan Mountain Provincial Park",CI,Compared tortuosity of hare movements in burned and unburned forest,Lepus americanus,Tortuosity,Pathway tortuosity,"Mean pathway tortuosity, with 1 = straighline, estimated using a fixed step random walk model",Not provided,NA,NA,Winter,Winter,Visual,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"""Rank 6 crown fire"" pg. 447 Most damaging wildfire rating in BC",25635 ha,13 years,Not provided,"Hare movements in the different stand types section of results, paragraph 1, pg. 449",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,0.54,0.28,NA,NA,11,0.59,0.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Three treatment groups investigated, data from mature (control) and open (impact)."
,1330,3,"Lang, JD; Powell, LA; Krementz, DG; Conroy, MJ",2002,"Wood thrush movements and habitat use: Effects of forest management for red-cockaded woodpeckers
",n,,127,NA,Lang2002,The Auk,2002,United States of America,"33.09875305455548, -83.71309710674606","Estimated by reviewers, coordinates taken from the existing google pin of the Piedmont National Wildlife Refuge",CI,Compared mean distance from capture site of juvenile wood thrush before dispersal at control and impact site,Hylocichla mustelina,Linear Distance,mean distance (m) from capture site before dispersal,mean distance (m) from capture site before dispersal,juvenilles,NA,NA,Spring/Summer,Spring/Summer,VHF,Not provided,Not provided,Not provided,Not provided,Planned,Winter,"Planned burns occur every 3 to 5 years, in ~50 ha plots",,1 year,"Generally, no treatment fire within 8 years. Some fire to manage southern bark beetle infestations","Table 4, pg. 117",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,161 m,11,NA,NA,5,309 m,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire treatment confounded with thinning treatment, thinning treatment aims to ""maintain a of  basal area of 11 to 18 m2 / ha."" pg. 111 . Used 1995 treatment group, as too few replicates to compare as BACI"
,3040,1,"Gasaway, W.C.; Dubois, S.D.; Boertje, R.D.; Reed, D.J.; Simpson, D.T.",1989,"Response of radio-collared moose to a large burn in central Alaska
",row created by CADIMA,row created by CADIMA,129,10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,"64.37583333, - 147.70444444",,BA,Compared percentage of moose relocations within burn perimeter before and after fire in April and May,Alces alces,Other space use - Proportion,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Spring,Spring,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Spring/Summer,Burn severity ranged from light to severe. Unburned patches within burn perimeter.,50000 ha,58 months,Not provided,"Table 2, pg.327",6,0.1,NA,0.16,NA,6,0.23,NA,0.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same moose as Gasaway1985, however this paper investiagted longer term responses (up to 58 months post fire)"
,3040,2,"Gasaway, W.C.; Dubois, S.D.; Boertje, R.D.; Reed, D.J.; Simpson, D.T.",1989,"Response of radio-collared moose to a large burn in central Alaska
",N,N,130,10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,"64.37583333, - 147.70444444",,BA,Compared percentage of moose relocations within burn perimeter before and after fire in June and July,Alces alces,Other space use - Proportion,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Summer,Summer,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Spring/Summer,Not provided,50000 ha,58 months,Not provided,"Table 2, pg.327",6,0,NA,0,NA,6,0.41,NA,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same moose as Gasaway1985, however this paper investiagted longer term responses (up to 58 months post fire)"
,3040,3,"Gasaway, W.C.; Dubois, S.D.; Boertje, R.D.; Reed, D.J.; Simpson, D.T.",1989,"Response of radio-collared moose to a large burn in central Alaska
",N,N,131,10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,"64.37583333, - 147.70444444",,BA,Compared percentage of moose relocations within burn perimeter before and after fire in August and Septemember,Alces alces,Other space use - Proportion,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Summer/Spring,Summer/Spring,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Spring/Summer,Not provided,50000 ha,58 months,Not provided,"Table 2, pg.327",6,0.17,NA,0.018,NA,6,0.55,NA,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same moose as Gasaway1985, however this paper investiagted longer term responses (up to 58 months post fire)"
,3040,4,"Gasaway, W.C.; Dubois, S.D.; Boertje, R.D.; Reed, D.J.; Simpson, D.T.",1989,"Response of radio-collared moose to a large burn in central Alaska
",N,N,132,10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,"64.37583333, - 147.70444444",,BA,Compared percentage of moose relocations within burn perimeter before and after fire in Oct and Nov,Alces alces,Other space use - Proportion,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Autumn,Autumn,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Spring/Summer,Not provided,50000 ha,58 months,Not provided,"Table 2, pg.327",6,0,NA,0,NA,6,0.08,NA,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same moose as Gasaway1985, however this paper investiagted longer term responses (up to 58 months post fire)"
,3040,5,"Gasaway, W.C.; Dubois, S.D.; Boertje, R.D.; Reed, D.J.; Simpson, D.T.",1989,"Response of radio-collared moose to a large burn in central Alaska
",N,N,133,10.1139/z89-047,Gasaway1989,Canadian Journal of Zoology,1989,United States of America,"64.37583333, - 147.70444444",,BA,Compared percentage of moose relocations within burn perimeter before and after fire in Dec and Jan,Alces alces,Other space use - Proportion,Percentage of fixes within fire perimeter,Percentage of fixes within fire perimeter,Not provided,Winter,Winter,NA,NA,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Spring/Summer,Not provided,50000 ha,58 months,Not provided,"Table 2, pg.327",6,0,NA,0,NA,6,0.07,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Same moose as Gasaway1985, however this paper investiagted longer term responses (up to 58 months post fire)"
