X,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Study_Design,Species_tree,Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period..days.,Mean_tracking_period..days.,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Comments,Burned_n,Unburned_n,ReptTraits.Max_body_mass_g,AvoNet.Mean_mass_g,BodyMass.g,Phy.body_mass_g,BodyMassComments,biome_no,biome_name,lon,lat,veg_str,climate_zone,code,name,Climate,veg_climate
53,72,10.1139/cjz-2023-0100,Delay2020,Canadian Journal of Zoology,2024,Canada,CI,Clemmys_guttata,Clemmys guttata,Linear Distance,Minimum Daily distance moved,"Annual Minimum daily distance moved, estimated by calculated straight line distances between fixes, divided by the number of days between fixes",Males and females,NA,NA,Spring/Summer/Autumn,Spring/Summer/Autumn,VHF,NA,NA,9.4,Not provided,Wildfire,Not provided,Not provided,1900,1460,"DMM Section of results, pg. 129",15,21.6,8.4,13.8,19.7,7.9,SE,"Animals not tracked in winter at control site due to inaccessability. Mean fixes calculated by averaging the mean number of relocations per individual (Table A1), this does include individuals from a treatment third site (undistributed site) that data has not been extracted from. Exact date of fire not given, but occured sometime during windfarm construction (2017-2019), and maximum treatment age assumes fire was in 2017.",9,9,305,NA,305,NA,,4,Temperate broadleaf and mixed forests,-75.5394702329814,44.7620203581771,closed,26,Dfb,"Cold, no dry season, warm summer",Cold,closed_Cold
27,41,10.1016/j.rama.2016.08.006,Carroll2017,Rangeland Ecology and Management,2017,United States of America,CI,Colinus_virginianus,Colinus virginianus,Home range,Home range size,Mean home range 95% Kernel density,Males and females,Autumn/Winter,Autum/Winter,NA,NA,VHF,NA,NA,42.2,20,Planned,Winter/Spring,Planned burns occurred at same time in 2013 and 2014. Mean size 254.3 ha (+/- 33.7 ha) of pastures burnt during 2013 and 2014,3193,365,"Means and SEM from Convey Home Range Section of Results, para 1 pg. 178. Sample sizes from caption of Figure 2.",85,100.53,69.47,78.91,85.46,72.37,SE,"Fire impact size calculated as sum of 2013 and 2014 burns (pg. 176). Grazing occurred across study area from April to August, applied to control and impact treatments. 3 time since fire groups (0-12, 13-24 and >36 months) no difference in covey HR, however 25-36 months HR size was significantly smaller than >36 months group pg. 178.",6,32,NA,171.9,171.9,NA,,8,"Temperate grasslands, savannas, and shrublands",-99.7212240455708,35.8981817848328,open,14,Cfa,"Temperate, no dry season, hot summer",Temperate,open_Temperate
82,137,10.1017/S1367943003003305,Brisson2003,Animal Conservation,2003,United States of America,CI,Crotaphytus_collaris,Crotaphytus collaris,Linear distance,mean dispersal distance,"mean dispersal distance, including within glade and between glade dispersal movements","Males and females, hatchlings to adults",NA,NA,"Spring, Summer and Autumn","Spring, Summer and Autumn",Visual,NA,NA,Not provided,Not provided,Planned,not provided,not provided,not provided,365,"Table 2, pg. 251",380,752,8,210,357,63,SD,Sample sizes the total number of dispersals.,23,11,61.7,NA,61.7,NA,,4,Temperate broadleaf and mixed forests,-90.7376064250026,37.5667383622737,closed,14,Cfa,"Temperate, no dry season, hot summer",Temperate,closed_Temperate
101,174,NA,Chavarria2013,PhD Thesis,2013,United States of America,BA,Cyrtonyx_montezumae,Cyrtonix montezumae,Linear Distance,Mean Maximum distance moved,Mean Maximum distance moved,Adult and juvenille males and females,"Winter, Spring, Summer","Winter, Spring, Summer",NA,NA,VHF,4,43.8,21.8,4,Wildfire,Spring,Not provided,Not provided,456,"Tracking data from Table 3.1, pg. 42. Movement metrics from Table 3.3, pg. 47",445,624.3,265.7,1128.4,1747.9,508.9,SE,"Fire occurred in May 2009, 5 months into the Jan - Aug tracking season. Used data collected from quails at Research Ranch, with 2009 as before and 2010 as after.",19,24,NA,NA,185.4,NA,Cyrtonix spelt as Cytrtonyx in Avonet,13,Deserts and xeric shrublands,-110.506175789616,31.5904022159315,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
102,175,NA,Chavarria2014,PhD Thesis,2013,United States of America,BA,Cyrtonyx_montezumae,Cyrtonix montezumae,Linear Distance,Mean distance between observations,Mean distance between observations,Adult and juvenille males and females,"Winter, Spring, Summer","Winter, Spring, Summer",NA,NA,VHF,4,43.8,21.8,4,Wildfire,Spring,Not provided,Not provided,456,"Tracking data from Table 3.1, pg. 42. Movement metrics from Table 3.3, pg. 47",156,217.8,94.2,239.2,486,-7.6,SE,"Fire occurred in May 2009, 5 months into the Jan - Aug tracking season. Used data collected from quails at Research Ranch, with 2009 as before and 2010 as after.",19,24,NA,NA,185.4,NA,Cyrtonix spelt as Cytrtonyx in Avonet,13,Deserts and xeric shrublands,-110.506175789616,31.5904022159315,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
103,176,NA,Chavarria2015,PhD Thesis,2013,United States of America,BA,Cyrtonyx_montezumae,Cyrtonix montezumae,Linear Distance,Mean distance between first and last observation,Mean distance between first and last observation,Adult and juvenille males and females,"Winter, Spring, Summer","Winter, Spring, Summer",NA,NA,VHF,4,43.8,21.8,4,Wildfire,Spring,Not provided,Not provided,456,"Tracking data from Table 3.1, pg. 42. Movement metrics from Table 3.3, pg. 47",227.4,359.2,95.6,676.8,1210.5,143.1,SE,"Fire occurred in May 2009, 5 months into the Jan - Aug tracking season. Used data collected from quails at Research Ranch, with 2009 as before and 2010 as after.",19,24,NA,NA,185.4,NA,Cyrtonix spelt as Cytrtonyx in Avonet,13,Deserts and xeric shrublands,-110.506175789616,31.5904022159315,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
104,177,NA,Chavarria2016,PhD Thesis,2013,United States of America,BA,Cyrtonyx_montezumae,Cyrtonix montezumae,Home range,"Utilisation distribution, fixed kernel density 95%","Utilisation distribution, fixed kernel density 95%",Adult and juvenille males and females,"Winter, Spring, Summer","Winter, Spring, Summer",NA,NA,VHF,4,43.8,21.8,4,Wildfire,Spring,Not provided,Not provided,456,"Tracking data from Table 3.1, pg. 42. Movement metrics from Table 3.2, pg. 43",21.9,34,9.8,107,203.5,10.5,SE,"Fire occurred in May 2009, 5 months into the Jan - Aug tracking season. Used data collected from quails at Research Ranch, with 2009 as before and 2010 as after.",19,24,NA,NA,185.4,NA,Cyrtonix spelt as Cytrtonyx in Avonet,13,Deserts and xeric shrublands,-110.506175789616,31.5904022159315,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
50,69,10.1080/15627020.2008.11407405,Yarnell2008,African Zoology,2008,South Africa,BA,Elephantulus_brachyrhynchus,Elephantulus brachyrhynchus,Home range,Home range,Home range size,Males and females,Winter,Winter,NA,NA,VHF,NA,NA,59.5,20,Planned,Winter,"Consumed the grass layer, did not consume shrub tickets, with some burning around the edges pg. 48",Not provided,7,"Table 1, pg. 48",0.18,0.25,0.11,0.24,0.3,0.18,SE,Animals tracked for 3 weeks before fire and 1 week post fire,9,9,NA,NA,47.5,47.5,,7,"Tropical and subtropical grasslands, savannas, and shrublands",27.3,-25.21666667,open,6,BSh,"Arid, steppe, hot",Arid,open_Arid
51,70,10.1080/15627020.2008.11407405,Yarnell2008,African Zoology,2008,South Africa,BA,Elephantulus_brachyrhynchus,Elephantulus brachyrhynchus,Linear Distance,Straight line distance (m),Straight line distance between successive fixes pg. 47,Males and females,Winter,Winter,NA,NA,VHF,NA,NA,Not provided,Not provided,Planned,Winter,"Consumed the grass layer, did not consume shrub tickets, with some burning around the edges pg. 49",Not provided,7,"Figure 1, pg. 49",12.08,14.41,9.75,16.24,18.1,14.38,SE,Animals tracked for 3 weeks before fire and 1 week post fire. Data extracted from Fig 1 using web plot digitiser,9,9,NA,NA,47.5,47.5,,7,"Tropical and subtropical grasslands, savannas, and shrublands",27.3,-25.21666667,open,6,BSh,"Arid, steppe, hot",Arid,open_Arid
92,150,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa,CI,Equus_burchellii,Equus burchelli,Other space use - Time,Mean time spent in habitat type,Mean time spent in habitat type,Males and females,NA,NA,All seasons,All seasons,VHF,122,NA,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,1673,"Figure 2, pg. 461",627,654,600,252.6,309,196.2,CI,Fires ignited by poachers,7,7,NA,NA,175000,NA,E. quagga in Phylacine,1,Tropical and subtropical moist broadleaf forests,30,-31.28333333,closed,14,Cfa,"Temperate, no dry season, hot summer",Temperate,closed_Temperate
93,151,10.1007/s13364-014-0184-y,Venter2014,Acta Theriologica,2014,South Africa,CI,Equus_burchellii,Equus burchelli,Linear distance,Mean speed (m/hr),Mean speed (m/hr),Males and females,NA,NA,All seasons,All seasons,VHF,122,NA,Not provided,Not provided,Planned,Not provided,"Mutiple burns ignited by poachers, timing not provided",Not provided,1673,"Figure 2, pg. 461",1041.81,1076.65,1006.97,1114.98,1188.15,1041.81,CI,Fires ignited by poachers,7,7,NA,NA,175000,NA,E. quagga in Phylacine,1,Tropical and subtropical moist broadleaf forests,30,-31.28333333,closed,14,Cfa,"Temperate, no dry season, hot summer",Temperate,closed_Temperate
5,9,10.1046/j.1365-2028.2000.00256.x,Jansen2000,African Journal of Ecology,2000,South Africa,CI,Francolinus_levaillantii,Francolinus levaillantii,Home range,Home range size,Mean home range size 95% kernel analysis,Not provided,NA,NA,Autumn,Autumn,VHF,10,10,Not provided,31,Planned,Not provided,Annual prescribed burned,Not provided,365,"Table 1, pg. 332",7.6,8.92,6.28,9.29,13.38,5.2,SE,"SEM caculated by reviwers from Table 1, pg. 332. Tracking data from Table 2. All birds tracked for 10 days. Impact site confounded with intense grazing. Both sites are grassland sites, although there is difference in land use, protected area (control) vs commerical grazing (impact).",5,5,NA,NA,430.9,NA,As Scleroptila levaillantii in Avonet,10,Montane grasslands and shrublands,30.16667,-25.35,open,12,Cwb,"Temperate, dry winter, warm summer",Temperate,open_Temperate
63,102,10.1071/WF18147,Lovich2018,International Journal of Wildland Fire,2018,United States of America,BA,Gopherus_agassizii,Gopherus agassizii,Home range,Activity Area size,"Annual Activity Area, minimum convex polygon",Adults,All seasons,All seasons,NA,NA,VHF,NA,NA,Not provided,4,Wildfire,Summer & Autumn,"2 fires, both Ignited accidentally by wind turbines, one in summer another in autumn. Summer fire larger (152 ha vs 6.5 ha)",158.5,243,"Table 1, pg. 853",0.845655,1.232666,0.458644,3.827236,6.022582,1.63189,SE,"Tracking effort varied seasonally, with increased effort in nesting season Spring/Summer",8,8,10956,NA,10956,NA,,13,Deserts and xeric shrublands,-116.667361298252,33.9461538437442,open,6,BSh,"Arid, steppe, hot",Arid,open_Arid
64,103,10.1071/WF18147,Lovich2018,International Journal of Wildland Fire,2018,United States of America,CI,Gopherus_agassizii,Gopherus agassizii,Other space use - Proportion,Percentage of Activity area overlap between years,Percentage of Activity area overlap between years,Adults,NA,NA,All seasons,All seasons,VHF,NA,NA,Not provided,4,Wildfire,Summer & Autumn,"2 fires, both Ignited accidentally by wind turbines, one in summer another in autumn. Summer fire larger (152 ha vs 6.5 ha)",158.5,243,"Table 1, pg. 853",0.378,0.481,0.275,0.334,0.444,0.224,SE,"Tracking effort varied seasonally, with increased effort in nesting season Spring/Summer. Means and SEM calculated by reviewers. ",8,6,10956,NA,10956,NA,,13,Deserts and xeric shrublands,-116.667361298252,33.9461538437442,open,6,BSh,"Arid, steppe, hot",Arid,open_Arid
24,34,10.2193/2006-337,Yager2007,Journal of Wildlife Management,2007,United States of America,CI,Gopherus_polyphemus,Gopherus polyphemus,Home range,Home range size,Home range size 95% kernel estimate,Males and females,NA,NA,All seasons,All seasons,VHF,300,696,Not provided,Not provided,Planned,Winter & Spring,"Burns at impact sites occurred in Jan and Feb 2002, and April 2003",Not provided,730,"Table 2, pg. 431",1.02,1.73,0.31,1.16,2.8,-0.48,SD,"All sites centred on cleared training firing points, with a 200 m buffer of forest.",20,20,10008,NA,10008,NA,,5,Temperate coniferous forests,-89.2140852316057,31.2007949344736,closed,14,Cfa,"Temperate, no dry season, hot summer",Temperate,closed_Temperate
74,127,NA,Lang2002,The Auk,2002,United States of America,CI,Hylocichla_mustelina,Hylocichla mustelina,Linear Distance,mean distance (m) from capture site before dispersal,mean distance (m) from capture site before dispersal,juvenilles,NA,NA,Spring/Summer,Spring/Summer,VHF,NA,NA,Not provided,Not provided,Planned,Winter,"Planned burns occur every 3 to 5 years, in ~50 ha plots",Not provided,365,"Table 4, pg. 117",309,334,284,161,172,150,SE,"Fire treatment confounded with thinning treatment, thinning treatment aims to ""maintain a of  basal area of 11 to 18 m2 / ha."" pg. 111 . Used 1995 treatment group, as too few replicates to compare as BACI",5,8,NA,50.1,50.1,NA,,4,Temperate broadleaf and mixed forests,-83.7130971067461,33.0987530545555,closed,14,Cfa,"Temperate, no dry season, hot summer",Temperate,closed_Temperate
73,119,10.1139/cjz-2018-0222,Hutchen2019,Canadian Journal of Zoology,2019,Canada,CI,Lepus_americanus,Lepus americanus,Tortuosity,Pathway tortuosity,"Direction of effect: lower values = greater tortuosity, higher values = less tortusity. Mean pathway tortuosity, with 1 = straighline, estimated using a fixed step random walk model",Not provided,NA,NA,Winter,Winter,Visual,NA,NA,Not provided,Not provided,Wildfire,Summer,"""Rank 6 crown fire"" pg. 447 Most damaging wildfire rating in BC",25635,4745,"Hare movements in the different stand types section of results, paragraph 1, pg. 449",0.59,0.76,0.42,0.54,0.82,0.26,SE,"Three treatment groups investigated, data from mature (control) and open (impact).",11,16,NA,NA,1710,1710,,5,Temperate coniferous forests,-119.596870812616,49.7220588404915,closed,26,Dfb,"Cold, no dry season, warm summer",Cold,closed_Cold
20,27,0.1002/wsb.536,Everitts2015,Wildlife Society Bulletin,2015,United States of America,CI,Limnothlypis_swainsonii,Limnothlypis swainsonii,Home range,Home range size,Home range size 95% fixed kernel,Males,NA,NA,Spring/Summer,Spring/Summer,VHF,5,NA,47.3,26,Planned,Winter,"Low intensity, ignited with drip torches",2051,517,Abstract,14.4,17.9,10.9,8.5,9.6,7.4,SE,"Two prescribed burns occurred during the study period, the first in winter 2007 and the second in winter 2009. Impact fire size calculated by reviewers as sum of both fire sizes. Mean fixes calculated by reviewer by averaging the mean number of fixes for 2008 and 2009.",13,27,NA,18.9,18.9,NA,,4,Temperate broadleaf and mixed forests,-90.6680811767709,34.6573276322919,closed,14,Cfa,"Temperate, no dry season, hot summer",Temperate,closed_Temperate
105,178,NA,Thompson1993,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Linear Distance,Distances between winter areas in consecuitive years,Distances between winter areas in consecuitive years,subadult females,NA,NA,Winter,Winter,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Burned created mosaic of burned and unburned habitat, burn severity light to severe.",20920,1278,"Table 6, pg 28",4600,5100,4100,20700,26600,14800,SD,"Control treatment partly confounded by logging for fuel reduction (437 ha of 2150 ha control area in the 10 years preceeding the study). Long Pines is the control site, and Ekalaka Hills is the impact site.",7,6,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",-105.998565272602,45.5006621025776,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
106,179,NA,Thompson1994,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Home range,"Spring/fall home range sizes, minimum convex polygon","Spring/fall home range sizes, minimum convex polygon",Males,NA,NA,Spring/fall,Spring/fall,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Burned created mosaic of burned and unburned habitat, burn severity light to severe.",20920,1278,"Table 13, pg 43",2480,4980,-20,530,1060,0,SD,"Control treatment partly confounded by logging for fuel reduction (437 ha of 2150 ha control area in the 10 years preceeding the study). Long Pines is the control site, and Ekalaka Hills is the impact site.",15,9,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",-105.998565272602,45.5006621025776,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
107,180,NA,Thompson1995,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Home range,"Spring/fall home range sizes, minimum convex polygon","Spring/fall home range sizes, minimum convex polygon",Female,NA,NA,Spring/fall,Spring/fall,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Burned created mosaic of burned and unburned habitat, burn severity light to severe.",20920,1278,"Table 13, pg 43",1130,3120,-860,560,1100,20,SD,"Control treatment partly confounded by logging for fuel reduction (437 ha of 2150 ha control area in the 10 years preceeding the study). Long Pines is the control site, and Ekalaka Hills is the impact site.",25,18,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",-105.998565272602,45.5006621025776,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
108,181,NA,Thompson1996,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Linear Distance,Mean daily linear distances travelled,Mean daily linear distances travelled,Males,NA,NA,Spring/fall,Spring/fall,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Burned created mosaic of burned and unburned habitat, burn severity light to severe.",20920,1278,"Table 13, pg 43",2300,2900,1700,1600,2500,700,SD,"Control treatment partly confounded by logging for fuel reduction (437 ha of 2150 ha control area in the 10 years preceeding the study). Long Pines is the control site, and Ekalaka Hills is the impact site.",15,9,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",-105.998565272602,45.5006621025776,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
109,182,NA,Thompson1997,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Linear Distance,Mean daily linear distances travelled,Mean daily linear distances travelled,Females,NA,NA,Spring/fall,Spring/fall,VHF,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"Burned created mosaic of burned and unburned habitat, burn severity light to severe.",20920,1278,"Table 13, pg 43",1700,3000,400,1200,2100,300,SD,"Control treatment partly confounded by logging for fuel reduction (437 ha of 2150 ha control area in the 10 years preceeding the study). Long Pines is the control site, and Ekalaka Hills is the impact site.",25,18,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",-105.998565272602,45.5006621025776,open,7,BSk,"Arid, steppe, cold",Arid,open_Arid
