your comment,comments,article id,study id,author,publication year,title,data location,study_name,Study_ID,Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Lat_Long,Lat_Long_Method,Study_Design,Study_Characteristics,Study_Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Minimum_tracking_period,Mean_tracking_period,Mean_fixes,Minimum_fixes,Impact_fire_type,Impact_fire_season,Impact_fire_characteristics,Impact_fire_size,Maximum_treatment_burn_age,Comparator_fire_history,Data_source,Sample_Size_Before,Mean_Before,SEM_Before,SD_Before,95__CI_Before,Sample_Size_After,Mean_After,SEM_After,SD_After,95__CI_After,Sample_Size_Control,Mean_Control,SEM_Control,SD_Control,95__CI_Control,Sample_Size_Impact,Mean_Impact,SEM_Impact,SD_Impact,95__CI_Impact,Sample_Size_Control_Before,Mean_Control_Before,SEM__Control_Before,SD__Control_Before,95__CI__Control_Before,Sample_Size_Control_After,Mean_Control_After,SEM_Control_After,SD_Control_After,95__CI_Control_After,Sample_Size_Impact_Before,Mean_Impact_Before,SEM_Impact_Before,SD_Impact_Before,95__CI_Impact_Before,Sample_Size_Impact_After,Mean_Impact_After,SEM_Impact_After,SD_Impact_After,95__CI_Impact_After,Comments
,,122,1,"Green, K",2005,"Winter home range and foraging of common wombats (<i>Vombatus ursinu</i>s) in patchily burnt subalpine areas of the Snowy Mountains, Australia
",row created by CADIMA,row created by CADIMA,38,10.1071/WR04079,Green2005,Wildlife Research,2005,Australia,"-36.45335357272035, 148.26380397078665","Estimated by reviewer, as coordinates of Mt Kosciuszko",CI,"Estimated home range size of wombats in first winter post bushfire, comparing home range size of wombats with burrows in burned areas to unburned area",Vombatus ursinus,Home range,Home range size,Home range size 95% kernel,Unknown,NA,NA,Winter,Winter,Visual,5 days,6.7 days,44.1,33,Wildfire,Summer,Not provided,Not provided,6 months,Not provided,"Table 1, pg. 526",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,16.3 ha,14.5 ha,NA,NA,5,52.6 ha,33.4 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Does not meet meta analysis criteria due only 4 control few replicates. Authors note significant difference in HR size of wombats with burrows in burned areas (larger) than unburned (smaller). Pg. 526
,,133,1,"GASAWAY, WC; DUBOIS, SD",1985,"INITIAL RESPONSE OF MOOSE, ALCES-ALCES, TO A WILDFIRE IN INTERIOR ALASKA
",row created by CADIMA,row created by CADIMA,39,10.5962/p.355397,Gasaway1985,Canadian Field-Naturalist,1985,United States of America,"64.37583333, - 147.70444444","Estimated by reviewer as 50 km south of Fairbanks, Alaska",BA,Estimated displacement of moose post fire using the proportion of moose relocations within the perimeter of a wildfire before and after the fire,Alces alces,Other space use,Percentage of relocations,Percentage of relocations outside the burn perimeter,Unknown,Spring/Summer,Spring/Summer,NA,NA,VHF,Not provided,Not provided,Not provided,2,Wildfire,Spring/Summer,"Within the burn area used by moose 75% burned at moderate to high severity, 10% low severity and 15% unburned pg. 136",,4 months,"Unburned by this wildfire event, no other details provided","Table 1, pg. 136",68,0.258,12.4,NA,NA,48,0.53,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Means and SEM calculated  by reviwer from values in Table 1. May or may not be of use, depending on other space use metrics recorded."
,,133,2,"GASAWAY, WC; DUBOIS, SD",1985,"INITIAL RESPONSE OF MOOSE, ALCES-ALCES, TO A WILDFIRE IN INTERIOR ALASKA
",NA,,40,10.5962/p.355397,Gasaway1985,Canadian Field-Naturalist,1985,United States of America,"64.37583333, - 147.70444444","Estimated by reviewer as 50 km south of Fairbanks, Alaska",BA,"Estimated displacement of moose home ranges post fire, using mean percentage of home range area outside the burn area before and after the fire",Alces alces,Other space use,Percentage of home range area outside burn perimeter,Mean percentage of home range outside the burn perimeter before and after fire,Unknown,Spring/Summer,Spring/Summer,NA,NA,VHF,Not provided,Not provided,Not provided,3,Wildfire,Spring/Summer,"Within the burn area used by moose 75% burned at moderate to high severity, 10% low severity and 15% unburned pg. 137",,5 months,"Unburned by this wildfire event, no other details provided","Para 1 of results, pg. 137",11,0.57,8.6,NA,NA,7,0.42,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"May or may not be of use, depending on other space use metrics recorded."
,,135,1,"Carroll, JM; Davis, CA; Elmore, RD; Fuhlendorf, SD",2017,"Response of Northern Bobwhite Movements to Management-Driven Disturbance in a Shrub-Dominated Ecosystem
",row created by CADIMA,row created by CADIMA,41,10.1016/j.rama.2016.08.006,Carroll2017,Rangeland Ecology and Management,2017,United States of America,"35.8981817848328, -99.72122404557075","Estimated by reviewer, coordinates taken as the approximate mid point of the Packsaddle Wildlife Management Area",CI,"Estimated home range size of bobwhite coveys at various time since fire, used >36 months post fire as control group and 0-12 months as impact group",Colinus virginianus,Home range,Home range size,Mean home range 95% Kernel density,Males and females,Autumn/Winter,Autum/Winter,NA,NA,VHF,Not provided,Not provided,42.2,20,Planned,Winter/Spring,Planned burns occurred at same time in 2013 and 2014. Mean size 254.3 ha (+/- 33.7 ha) of pastures burnt during 2013 and 2014,3193 ha,12 months,Unburned for at least 3 years,"Means and SEM from Convey Home Range Section of Results, para 1 pg. 178. Sample sizes from caption of Figure 2.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,78.91 ha,6.54,NA,NA,6,85 ha,15.53 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Fire impact size calculated as sum of 2013 and 2014 burns (pg. 176). Grazing occurred across study area from April to August, applied to control and impact treatments. 3 time since fire groups (0-12, 13-24 and >36 months) no difference in covey HR, however 25-36 months HR size was significantly smaller than >36 months group pg. 178."
,,142,1,"Clapp, JG; Beck, JL",2016,"SHORT-TERM IMPACTS OF FIRE-MEDIATED HABITAT ALTERATIONS ON AN ISOLATED BIGHORN SHEEP POPULATION
",row created by CADIMA,row created by CADIMA,42,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,"64.37583333, - 147.70444444",Provided by authors,BA,Estimated change in home range size before and after prescribed fire and wildfire in bighorn sheep,Ovis canadensis,Home range,Home range size,Mean home range 95% Utilisation Distributions,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Both,Spring & Summer,"Spring burns (2011 and 2012) were planned and had a mosaic burn pattern. Wildfire was in July and consumed most of the shrub and grass layer, no mosaic patterning pg. 84. Planned burns totalled ~7.5km2, Wildfire 12.6km2.",20.1km2,2 years 3 months,Not provided,"Distributional Response to Fire section of results, pg. 88",16,,,,,16,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEED TO CONTACT AUTHORS. Mean values of home range size not reported, however a ~250% increase in home range size post fire was reported by the authors (pg. 88)."
,,142,2,"Clapp, JG; Beck, JL",2016,"SHORT-TERM IMPACTS OF FIRE-MEDIATED HABITAT ALTERATIONS ON AN ISOLATED BIGHORN SHEEP POPULATION
",N,,43,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,"64.37583333, - 147.70444444",Provided by authors,BA,Estimated proportion of bighorn sheep fixes within the fire treatment perimeter before and after May 2011 prescribed fire,Ovis canadensis,Other space use,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Planned,Spring,mosaic burn pattern,Not provided,2 years 3 months,Not provided,"Table 3, pg. 90",11,0.03,0.01,NA,NA,11,0.14,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May be seasonally confounded
,,142,3,"Clapp, JG; Beck, JL",2016,"SHORT-TERM IMPACTS OF FIRE-MEDIATED HABITAT ALTERATIONS ON AN ISOLATED BIGHORN SHEEP POPULATION
",N,,44,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,"64.37583333, - 147.70444444",Provided by authors,BA,Estimated proportion of bighorn sheep fixes within the fire treatment perimeter before and after May 2012 prescribed fire,Ovis canadensis,Other space use,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Planned,Spring,mosaic burn pattern,Not provided,2 years 3 months,Not provided,"Table 3, pg. 91",10,0.06,0.01,NA,NA,10,0.14,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May be seasonally confounded
,,142,4,"Clapp, JG; Beck, JL",2016,"SHORT-TERM IMPACTS OF FIRE-MEDIATED HABITAT ALTERATIONS ON AN ISOLATED BIGHORN SHEEP POPULATION
",N,,45,10.4996/fireecology.1203080,Clapp2016,Fire Ecology,2016,United States of America,"64.37583333, - 147.70444444",Provided by authors,BA,Estimated proportion of bighorn sheep fixes within the fire treatment perimeter before and after July 2012 wildfire,Ovis canadensis,Other space use,Proportion of relocations,Porportion of locations within the burn perimeter,Males and females,Not detailed - assuming all seasons,Not detailed - assuming all seasons,NA,NA,GPS,Not provided,Not provided,Not provided,Not provided,Wildfire,Summer,"consumed most of the shrub and grass layer, no mosaic patterning",12.6km2,2 years 3 months,Not provided,"Table 3, pg. 92",9,0.24,0.08,NA,NA,9,0.23,0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,May be seasonally confounded
,,179,1,"Morollón, S; Pausas, JG; Urios, V; López-López, P",2022,"Wildfire response of GPS-tracked Bonelli's eagles in eastern Spain
",row created by CADIMA,row created by CADIMA,46,10.1071/WF22018,Morollón2022,International Journal of Wildland Fire,2022,Spain,"39.92740752164543, -0.23713718959935318",Provided by authors,BACI,"Estimated short term and long term 50% and 95% Kernel density, total daily distance, mean step length of 1 male eagle directly impacted by a wildfire, and 6 others that were not impacted. Also compares the movement metrics to the 1 eagle impacted by the fire, to the others not impacted. Estimated residence time in home range and distance to ignition point for the short term period before, during and after fire of the 1 male directly impacted by fire.",Aquila fasciata,"Home range, Linear distance & Other space use",Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Pairs of eagles,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,GPS,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Wildfire,Summer,Not provided,1556 ha (of study area),2 years 4 months,Not provided,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,Not recorded - study does not meet meta analysis criteria,"Does not meet meta analysis criteria due to too few replicates impacted by fire. Very Short term (7-29 days) impact to movement metrics (significant increase in home range and distance to ignition point, not significant to residence time) of male impacted by fire, and weaker very short term (days) impacts on home ranges of eagles outside burn perimeter. No long term impacts to movemnet. Authors note regarding the impacted male ""the distance of the individual to the ignition point was significantly higher during the first fire days (25–28 July; 8.35 ± 3.44 km, range: 0239.24–15.63 km) than after (29 July–1 August; 3.47 ± 3.25 km, range: 0346.35–13.33 km; P < 0.001, Kruskal–Wallis test)"" pg. 904. Also ""proportion
of GPS locations (i.e. the proportion of time) within the
wildfire perimeter was much lower during the first period
(6.02%, n = 748) than after (60.37%, n = 752). The residence
time of the male within the fire perimeter was similar before
(15.24 ± 9.99 h per entry) and after fire (14.80 ± 9.42 h per
entry; P = 0.059, Kruskal–Wallis test; Fig. 2b). "" pg. 904."
,,183,1,"Leonard, KM; Koprowski, JL",2010,"EFFECTS OF FIRE ON ENDANGERED MOUNT GRAHAM RED SQUIRRELS (<i>TAMIASCIURUS HUDSONICUS GRAHAMENSIS</i>): RESPONSES OF INDIVIDUALS WITH KNOWN FATES
",row created by CADIMA,row created by CADIMA,47,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",Provided by authors,CI,Compared home range size of red squirrels at burned and unburned sites immediately and up to 4 months post fire (Aug - Nov 2004),Tamiasciurus hudsonicus grahamensis,Home range,Home range size,Home range size 95% fixed kernel,Males and females,NA,NA,Summer/Autumn,Summer/Autumn,VHF,Not provided,Not provided,Not provided,Not provided,Both,Summer,"Planned: Low intensity, back burns to fight wildfire. Wildfire: mosaic of unburned, lightly and severly burned",16.4 ha,4 months,Not provided,"Table 1, pg. 221",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,2.01 ha,0.39 ha,NA,NA,8,1.48 ha,0.32 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,183,2,"Leonard, KM; Koprowski, JL",2010,"EFFECTS OF FIRE ON ENDANGERED MOUNT GRAHAM RED SQUIRRELS (<i>TAMIASCIURUS HUDSONICUS GRAHAMENSIS</i>): RESPONSES OF INDIVIDUALS WITH KNOWN FATES
",N,,48,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",Provided by authors,CI,Compared home range size of red squirrels at burned and unburned sites ~ 1 year post fire (May - Jul 2005),Tamiasciurus hudsonicus grahamensis,Home range,Home range size,Home range size 95% fixed kernel,Males and females,NA,NA,Spring/Summer,Spring/Summer,VHF,Not provided,Not provided,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4 ha,1 year,Not provided,"Table 1, pg. 221",,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,3.21 ha,0.55 ha,NA,NA,5,0.62 ha,0.25 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,183,3,"Leonard, KM; Koprowski, JL",2010,"EFFECTS OF FIRE ON ENDANGERED MOUNT GRAHAM RED SQUIRRELS (<i>TAMIASCIURUS HUDSONICUS GRAHAMENSIS</i>): RESPONSES OF INDIVIDUALS WITH KNOWN FATES
",N,,49,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",Provided by authors,CI,"Compared home range size of red squirrels at burned and unburned sites ~1 year, 4 months post fire",Tamiasciurus hudsonicus grahamensis,Home range,Home range size,Home range size 95% fixed kernel,Males and females,NA,NA,Summer/Autumn,Summer/Autumn,VHF,Not provided,Not provided,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4 ha,1 year 4 months,Not provided,"Table 1, pg. 221",,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,2.88 ha,0.81 ha,NA,NA,4,0.36 ha,0.09 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Does not meet meta analysis criteria. Useful for discussion, with home range size of impact site significantly smaller than control site."
,,183,4,"Leonard, KM; Koprowski, JL",2010,"EFFECTS OF FIRE ON ENDANGERED MOUNT GRAHAM RED SQUIRRELS (<i>TAMIASCIURUS HUDSONICUS GRAHAMENSIS</i>): RESPONSES OF INDIVIDUALS WITH KNOWN FATES
",N,,50,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",Provided by authors,CI,Compared distance of territory shifts of red squirrels at control and impact sites,Tamiasciurus hudsonicus grahamensis,Linear Distance,Territory Shift,Distance (m) of territory shift,Males and females,NA,NA,Spring/Summer/Autumn,Spring/Summer/Autumn,VHF,Not provided,Not provided,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4 ha,1 year 4 months,Not provided,"Paragraph 2 (impact) and 3 (control) of results section, pg. 220",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,157.9 m,50.8 m,NA,NA,4,42.4 m,20 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Does not meet meta analysis criteria due to too few replicates at impact site. Useful for discussion
,,183,5,"Leonard, KM; Koprowski, JL",2010,"EFFECTS OF FIRE ON ENDANGERED MOUNT GRAHAM RED SQUIRRELS (<i>TAMIASCIURUS HUDSONICUS GRAHAMENSIS</i>): RESPONSES OF INDIVIDUALS WITH KNOWN FATES
",N,,51,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",Provided by authors,BACI,Compared distance between middens to nocturnal nests of red squirrels before and immediately after fire,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nesta,Males and females,Spring/Summer,Summer,Summer,Summer,VHF,Not provided,Not provided,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4 ha,1 month,Not provided,"Figure 2, pg. 222",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,63.2 m,14.3,NA,NA,26,76.1 m,16.6,NA,NA,8,23.3 m,10.5,NA,NA,8,18.2 m,25.1,NA,NA,
,,183,6,"Leonard, KM; Koprowski, JL",2010,"EFFECTS OF FIRE ON ENDANGERED MOUNT GRAHAM RED SQUIRRELS (<i>TAMIASCIURUS HUDSONICUS GRAHAMENSIS</i>): RESPONSES OF INDIVIDUALS WITH KNOWN FATES
",N,,52,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",Provided by authors,CI,Compared distance between middens and nocturnal nests of red squirrels at burned and unburned sites immediately the summer of the fire,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nesta,Males and females,NA,NA,Autumn,Autumn,VHF,Not provided,Not provided,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4 ha,4 months,Not provided,"Figure 2, pg. 222",,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,56.2 m,12.5 m,NA,NA,5,8m,2.6 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,183,7,"Leonard, KM; Koprowski, JL",2010,"EFFECTS OF FIRE ON ENDANGERED MOUNT GRAHAM RED SQUIRRELS (<i>TAMIASCIURUS HUDSONICUS GRAHAMENSIS</i>): RESPONSES OF INDIVIDUALS WITH KNOWN FATES
",N,,53,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",Provided by authors,CI,Compared distance between middens and nocturnal nests of red squirrels at burned and unburned sites immediately the summer of the fire,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nesta,Males and females,NA,NA,Summer,Summer,VHF,Not provided,Not provided,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4 ha,12 months,Not provided,"Figure 2, pg. 222",,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,55.8 m,11.1 m,NA,NA,5,54.5 m,30.2 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,183,8,"Leonard, KM; Koprowski, JL",2010,"EFFECTS OF FIRE ON ENDANGERED MOUNT GRAHAM RED SQUIRRELS (<i>TAMIASCIURUS HUDSONICUS GRAHAMENSIS</i>): RESPONSES OF INDIVIDUALS WITH KNOWN FATES
",N,,54,10.1894/MRD-01.1,Leonard2010,Southwestern Naturalist,2010,United States of America,"32.793741609249324, - 110.00480136604524",Provided by authors,CI,Compared distance between middens and nocturnal nests of red squirrels at burned and unburned sites immediately the summer of the fire,Tamiasciurus hudsonicus grahamensis,Linear Distance,Distance,Distance (m) between middens and nesta,Males and females,NA,NA,Autumn,Autumn,VHF,Not provided,Not provided,Not provided,Not provided,Both,Summer,"Low intensity, back burns to fight wildfire",16.4 ha,1 year 4 months,Not provided,"Figure 2, pg. 222",,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,61.6 m,17.4 m,NA,NA,4,9.3 m,2.5 m,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Does not meet meta analysis criteria due to too few impact replicates.
,,189,1,"Lacki, MJ; Cox, DR; Dodd, LE; Dickinson, MB",2009,"RESPONSE OF NORTHERN BATS (<i>MYOTIS SEPTENTRIONALIS</i>) TO PRESCRIBED FIRES IN EASTERN KENTUCKY FORESTS
",row created by CADIMA,row created by CADIMA,55,10.1644/08-MAMM-A-349.1,Lacki2009,Journal of Mammalogy,2009,United States of America,"37.85000000, - 83.65000000",Provided by authors,BA,Compared home range size of bats before and after a prescribed fire,Myotis septentrionalis,Home range,Home range size,Home range size 95% (estimated using Hawth's Tools v3.27 in ArcGIS),Females,Summer,Spring/Summer,NA,NA,VHF,Not provided,6.3 days,Not provided,Not provided,Planned,Spring,"Two burn units. Both drip torch ignition, mosaic of burned (ridges and upper slopes) and unburned (lower slopes, drainage lines) area within fire. Flame height 0.2 -2.5 m, generally <1m Pg. 1166.",620 ha,4  months,No european prescribed burning. History of wildfires before 1930,"Foraging behaviour section of results, paragraph 1 pg. 1169",5,60.2 ha,14.1 ha,NA,NA,9,72.3 ha,6.2 ha,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Some temporal confounding, with before tracking occuring largely in June/July 2006, after tracking occurred April-September 2007"
,,195,1,"Cherry, MJ; Chandler, RB; Garrison, EP; Crawford, DA; Kelly, BD; Shindle, DB; Godsea, KG; Miller, KV; Conner, LM",2018,"Wildfire affects space use and movement of white-tailed deer in a tropical pyric landscape
",row created by CADIMA,row created by CADIMA,56,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",Provided by authors in Figure 3,BACI,Compared home range of male deer in the month before and the first month after wildfire in a BACI design,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,Spring,Spring,Spring,Spring,GPS,1 month,1 month,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,142 km2,1 month,History of prescribed burning with a fire return interval goal of 3-5 years. Also history of nearly annual wildfire,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,1.31 km2,0.22,NA,NA,13,1.63 km2,0.3,NA,NA,9,1.95 km2,0.19,NA,NA,10,2.85 km2,0.26,NA,NA,
,,195,2,"Cherry, MJ; Chandler, RB; Garrison, EP; Crawford, DA; Kelly, BD; Shindle, DB; Godsea, KG; Miller, KV; Conner, LM",2018,"Wildfire affects space use and movement of white-tailed deer in a tropical pyric landscape
",N,,57,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",Provided by authors in Figure 3,CI,Compared home range of male deer in burned and unburned area in a one month period 2 months after fire,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Spring/Summer,Spring/Summer,GPS,1 month,1 month,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,142 km2,1 month,History of prescribed burning with a fire return interval goal of 3-5 years. Also history of nearly annual wildfire,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2.63 km2,0.51 km2,NA,NA,9,3.63 km2,0.67 km2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
,,195,3,"Cherry, MJ; Chandler, RB; Garrison, EP; Crawford, DA; Kelly, BD; Shindle, DB; Godsea, KG; Miller, KV; Conner, LM",2018,"Wildfire affects space use and movement of white-tailed deer in a tropical pyric landscape
",N,,58,10.1016/j.foreco.2017.11.007,Cherry2018,Forest Ecology and Management,2018,United States of America,"26.20000000, - 81.16666667",Provided by authors in Figure 3,CI,Compared home range of male deer in burned and unburned area in a one month period 3 months after fire,Odocoileus virginianus,Home range,Home range size,Home range size 95% Utilisation Distributions,Males,NA,NA,Summer,Summer,GPS,1 month,1 month,Not provided,Not provided,Wildfire,Spring,Varied fire severity from incomplete combustion to complete combustion of grasses,142 km2,1 month,History of prescribed burning with a fire return interval goal of 3-5 years. Also history of nearly annual wildfire,"Sample size Table 1, pg. 165, Home range Table 3 pg. 166",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,3.07 km2,0.50 km2,NA,NA,10,4.12 km2,0.42 km2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
