Article_DOI,Firstauthor_Year,Journal_Title,Publication_Year,Study_Country,Study_Design,Species_tree,Species,Movement_category,Response_measured,Response_description,Subgroup_description,B_data_collection_season,A_data_collection_season,C_data_collection_season,I_data_collection_season,Tracking_method,Impact_fire_type,Impact_fire_size_ha,Maximum_treatment_burn_age_days,Data_source,Mean_Fire,Upper_Fire,Lower_Fire,Mean_Unburned,Upper_Unburned,Lower_Unburned,CI_Type,Burned_n,Unburned_n,ReptTraits.Max_body_mass_g,AvoNet.Mean_mass_g,BodyMass.g,Phy.body_mass_g,BodyMassComments,biome_no,biome_name,class_ncbi
NA,Thompson1993,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Linear Distance,Mean daily linear distances travelled,Mean daily linear distances travelled,Females,NA,NA,Spring/fall,Spring/fall,VHF,Wildfire,20920,1278,"Table 13, pg 43",1700,3000,400,1200,2100,300,SD,25,18,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",Aves
NA,Thompson1993,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Linear Distance,Straight line distance (km) between winter home range centres and nest site,Straight line distance (km) between winter home range centres and nest site,Adult females,NA,NA,Spring/Winter,Spring/Winter,VHF,Wildfire,20920,1278,"Table 24, pg. 59",5200,11800,-1400,4700,7000,2400,SD,10,9,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",Aves
NA,Thompson1993,PhD Thesis,1993,United States of America,CI,Meleagris_gallopavo_merriami,Meleagris gallopavo merriami,Linear Distance,Straight line distance (km) between winter home range centres and nest site,Straight line distance (km) between winter home range centres and nest site,subadult females,NA,NA,Spring/Winter,Spring/Winter,VHF,Wildfire,20920,1278,"Table 24, pg. 59",10500,18600,2400,5100,7600,2600,SD,15,8,NA,NA,5791.4,NA,From Meleagris gallopavo in AvoNet,8,"Temperate grasslands, savannas, and shrublands",Aves
10.1644/08-MAMM-A-349.1,Lacki2009,Journal of Mammalogy,2009,United States of America,BA,Myotis_septentrionalis,Myotis septentrionalis,Home range,Home range size,Home range size 95% (estimated using Hawth's Tools v3.27 in ArcGIS),Females,Summer,Spring/Summer,NA,NA,VHF,Planned,620,122,"Foraging behaviour section of results, paragraph 1 pg. 1169",72.3,78.5,66.1,60.2,74.3,46.1,SE,9,5,NA,NA,7.5,7.5,,4,Temperate broadleaf and mixed forests,Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BACI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Home range,Home range size,"Mean home range size, 95% local convex hull","Adult deer, 16 females",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,"Section 3.1 of results, paragraph 2  pg. 15688",7,12,2,6,15,-3,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,CI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Displacement,"Mean displacement during fire event and 3 day period post fire, calculated as follows "" identified the point during the fire and the 3-day post-
fire period that was farthest from the pre-fire LoCoH home range
centroid and calculated the Euclidean distance between points"" pg. 15687","Adult deer, mostly females",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,"Section 3.1 of results, paragraph 1 pg. 15687-15688",1170,2280,60,250,360,140,SD,13,5,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,CI,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Home Range Centroid Displacement,"Mean centroid displacement post fire, using home range centroids.",Adult females,Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,"Section 3.1 of results, paragraph 3, pg. 15688",140.32,208.29,72.35,119.22,227.59,10.85,SD,11,5,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Linear Distance,Daily distance moved,Mean daily distance moved,"Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,2150,2520,1780,1470,1730,1210,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Tortuosity,Straightness Index,"Direction of effect: lower values = greater tortuosity, higher values = less tortuosity. Straightness Index from 0 to 1, with 1 perfectly straight","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,0.021,0.041,0.001,0.011,0.021,0.001,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Tortuosity,Turn Angle Correlation,"Direction of effect: lower values = greater tortuosity, higher values = less tortuosity. Turn Angle Correlation, where high correlation indicates directed movement and low correlation indicates undirected movement","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,0.5202,0.5502,0.4902,0.515,0.535,0.495,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Other space use,"Mean residence time ""number of hours spent inside
a given radius"" pg. 15686",Mean residence time,"Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,16.8,27.4,6.2,10,14.2,5.8,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
10.1002/ece3.8221,Kreling2021,Ecology and Evolution,2021,United States of America,BA,Odocoileus_hemionus_columbianus,Odocoileus hemionus columbianus,Other space use,"Mean time to return ""hours an animal spends before returning to
a given radius"" pg. 15686","Mean time to return ""hours an animal spends before returning to
a given radius"" pg. 15687","Adult females, same cohort before and after",Summer,Summer,Summer,Summer,GPS,Wildfire,1380,30,Table 1 pg. 15689,55.5,68.2,42.8,64.1,80.2,48,SD,11,11,NA,NA,54212.6,NA,From Odocoileus hemionus in Phylacine,12,"Mediterranean forests, woodlands, and scrub or sclerophyll forests",Mammalia
